s,sLabel,point,update,isil,jawp
http://www.wikidata.org/entity/Q30934326,BICライブラリ,,2019-08-13T01:58:56Z,JP-1004937,https://ja.wikipedia.org/wiki/BIC%E3%83%A9%E3%82%A4%E3%83%96%E3%83%A9%E3%83%AA
http://www.wikidata.org/entity/Q11679176,龍ケ崎市立中央図書館,Point(140.178556 35.914778),2019-02-27T11:50:49Z,JP-1000455,https://ja.wikipedia.org/wiki/%E9%BE%8D%E3%82%B1%E5%B4%8E%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q18691594,鹿児島県立奄美図書館,,2019-05-18T20:47:18Z,JP-1003131,https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E7%AB%8B%E5%A5%84%E7%BE%8E%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11676767,鹿児島県立図書館,Point(130.554194 31.597167),2019-06-12T12:11:18Z,JP-1003130,https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11676589,鹿児島市立図書館,Point(130.554444 31.563528),2019-04-21T16:40:46Z,JP-1003132,https://ja.wikipedia.org/wiki/%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11675428,鳴門市立図書館,,2019-02-27T12:46:15Z,JP-1002714,https://ja.wikipedia.org/wiki/%E9%B3%B4%E9%96%80%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11675087,鳥羽市立図書館,Point(136.849889 34.469611),2019-02-27T12:28:45Z,JP-1002026,https://ja.wikipedia.org/wiki/%E9%B3%A5%E7%BE%BD%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11674572,鳥取県立図書館,Point(134.237472 35.502389),2019-03-14T04:42:39Z,JP-1002454,https://ja.wikipedia.org/wiki/%E9%B3%A5%E5%8F%96%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11674026,魚津市立図書館,Point(137.402028 36.817417),2019-02-27T12:15:10Z,JP-1001476,https://ja.wikipedia.org/wiki/%E9%AD%9A%E6%B4%A5%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11672771,高萩市立図書館,Point(140.708 36.711806),2019-02-27T11:51:02Z,JP-1000459,https://ja.wikipedia.org/wiki/%E9%AB%98%E8%90%A9%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
