s,sLabel,point,update,isil,jawp
http://www.wikidata.org/entity/Q11440796,大阪市立鶴見図書館,Point(135.5735 34.704306),2019-07-14T00:17:52Z,JP-1002167,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E9%B6%B4%E8%A6%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440766,大阪市立阿倍野図書館,Point(135.5105 34.640583),2019-07-14T00:18:52Z,JP-1002163,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E9%98%BF%E5%80%8D%E9%87%8E%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440735,大阪市立都島図書館,Point(135.527917 34.700889),2019-07-13T23:57:54Z,JP-1002174,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E9%83%BD%E5%B3%B6%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440714,大阪市立西淀川図書館,,2019-07-14T00:09:30Z,JP-1002169,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E8%A5%BF%E6%B7%80%E5%B7%9D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440713,大阪市立西成図書館,Point(135.494972 34.634556),2019-07-14T00:25:53Z,JP-1002181,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E8%A5%BF%E6%88%90%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440674,大阪市立福島図書館,Point(135.473083 34.691528),2019-07-13T23:59:17Z,JP-1002183,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E7%A6%8F%E5%B3%B6%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440621,大阪市立港図書館,Point(135.458833 34.667722),2019-07-14T00:03:05Z,JP-1002176,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E6%B8%AF%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440610,大阪市立淀川図書館,Point(135.481194 34.716028),2019-07-14T00:10:35Z,JP-1002178,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E6%B7%80%E5%B7%9D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440604,大阪市立浪速図書館,Point(135.496056 34.658583),2019-07-14T00:08:02Z,JP-1002179,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E6%B5%AA%E9%80%9F%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440556,大阪市立東淀川図書館,Point(135.519778 34.733972),2019-07-14T00:11:47Z,JP-1002172,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E6%9D%B1%E6%B7%80%E5%B7%9D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440552,大阪市立東成図書館,Point(135.541389 34.668056),2019-07-14T00:13:06Z,JP-1002171,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E6%9D%B1%E6%88%90%E5%9B%B3%E6%9B%B8%E9%A4%A8
